Date,Open,High,Low,Close,Volume,High-low,Open-close
21-06-2018,306.2,308.55,305.55,306.55,299929,3,-0.35
22-06-2018,308.45,308.9,303.2,308.15,400433,5.7,0.3
25-06-2018,308.15,308.15,288,289.85,1375019,20.15,18.3
26-06-2018,289.7,289.7,275.4,277.35,2005780,14.3,12.35
27-06-2018,279,279.5,270.1,271.2,1308895,9.4,7.8
28-06-2018,271.2,272.45,262.5,263.9,1266377,9.95,7.3
29-06-2018,265,270.5,263,269.3,1674053,7.5,-4.3
02-07-2018,276,277,266.1,267.25,1208787,10.9,8.75
03-07-2018,268.1,272,267.55,269.5,1812909,4.45,-1.4
04-07-2018,269.6,271.4,265.8,267,776527,5.6,2.6
05-07-2018,264,264,252.55,261.5,1464421,11.45,2.5
06-07-2018,261.6,273,261.6,271.15,1277833,11.4,-9.55
09-07-2018,273.5,276.9,272.4,273.35,767978,4.5,0.15
10-07-2018,276.8,276.9,273.2,275.4,464022,3.7,1.4
11-07-2018,277,277.1,267.2,267.85,701287,9.9,9.15
12-07-2018,269.95,271.9,265.5,266.5,714458,6.4,3.45
13-07-2018,267.8,269.3,263.3,264.15,636806,6,3.65
16-07-2018,261.15,261.8,250.75,251.55,1599394,11.05,9.6
17-07-2018,254.4,259,252.3,257.6,1429516,6.7,-3.2
18-07-2018,259.9,259.9,247.55,251.95,803100,12.35,7.95
19-07-2018,253.8,257.75,251.35,252.45,638977,6.4,1.35
20-07-2018,252.45,254,251.2,253.4,410202,2.8,-0.95
23-07-2018,255.3,259.3,251.35,258.25,559578,7.95,-2.95
24-07-2018,259.3,263.75,257.7,259.2,688105,6.05,0.1
25-07-2018,259.5,261.75,256.1,257.3,557669,5.65,2.2
26-07-2018,258.15,262.95,257.5,258.5,1161859,5.45,-0.35
27-07-2018,259.65,269.1,258.65,267.7,1121941,10.45,-8.05
30-07-2018,269.35,271.7,266.25,267.3,589717,5.45,2.05
31-07-2018,268.6,270.5,262.5,264.15,764757,8,4.45
01-08-2018,248,267.3,248,264.95,3249106,19.3,-16.95
02-08-2018,264.5,266.1,258.9,260.95,1001648,7.2,3.55
03-08-2018,262.6,263.8,257.7,258.75,743398,6.1,3.85
06-08-2018,260.95,261.85,253.15,254.7,842806,8.7,6.25
07-08-2018,255,255.95,251,251.85,1220335,4.95,3.15
08-08-2018,253.05,258.4,252.1,255,879631,6.3,-1.95
09-08-2018,257,260.5,255,257.5,586850,5.5,-0.5
10-08-2018,261.35,261.35,249.9,250.25,953312,11.45,11.1
13-08-2018,249.55,249.55,243.25,248.55,1566376,6.3,1
14-08-2018,248.7,249.9,247.5,248.7,477144,2.4,0
16-08-2018,247.5,252.75,245,251.15,687994,7.75,-3.65
17-08-2018,253.6,258.95,253.4,257.35,706164,5.55,-3.75
20-08-2018,262,271.9,259.45,269.55,1787015,12.45,-7.55
21-08-2018,271.05,274.6,266.9,269.05,1457193,7.7,2
23-08-2018,269.7,269.7,256.4,257.4,1408104,13.3,12.3
24-08-2018,256.35,258.6,255.05,255.6,713958,3.55,0.75
27-08-2018,257.9,259.5,256.65,258.9,630305,2.85,-1
28-08-2018,261,263.2,259.3,260.3,699602,3.9,0.7
29-08-2018,260.5,263.7,260.5,261.6,407775,3.2,-1.1
30-08-2018,261.85,263,259.1,259.65,370471,3.9,2.2
31-08-2018,259,268.2,258.2,267.1,834884,10,-8.1
03-09-2018,271.7,273,265.45,266.7,1083047,7.55,5
04-09-2018,270.6,271.05,260.65,262.05,1025120,10.4,8.55
05-09-2018,260,270.65,255.45,265.55,1120294,15.2,-5.55
06-09-2018,271,272,264.05,269.95,1168857,7.95,1.05
07-09-2018,270.8,279.95,269.2,277.5,2165591,10.75,-6.7
10-09-2018,276.3,282,272,275.55,2087453,10,0.75
